time,event,direction,price,lots,reason,realized_pnl,realized_pnl_cum,available_cash,margin_in_use,bar_index
2025-09-11 09:15:00+05:30,ENTRY,LONG,824.3,1,C3_LONG + EMA_OK + BUFFER,0.0,0.0,2500000.0,618.2249999999999,175
2025-09-26 09:30:00+05:30,EXIT,LONG,858.0,1,STOP,165.97655000000023,165.97655000000023,2500165.97655,0.0,451
2025-10-01 15:00:00+05:30,ENTRY,SHORT,863.1,1,C3_SHORT + EMA_OK + BUFFER,0.0,165.97655000000023,2500165.97655,647.325,548
2025-10-07 09:15:00+05:30,EXIT,SHORT,870.45,1,STOP,-39.35032500000011,126.62622500000012,2500126.626225,0.0,600
2025-10-08 11:00:00+05:30,ENTRY,SHORT,859.0,2,C3_SHORT + EMA_OK + BUFFER,0.0,126.62622500000012,2500126.626225,1288.5,632
2025-10-10 09:30:00+05:30,EXIT,SHORT,870.55,2,STOP,-120.68864999999954,5.937575000000578,2500005.937575,0.0,676
2025-10-10 10:30:00+05:30,ENTRY,LONG,882.55,4,C3_LONG + EMA_OK + BUFFER,0.0,5.937575000000578,2500005.937575,2647.6499999999996,680
2025-10-31 09:15:00+05:30,EXIT,LONG,939.25,4,MONTH_END,1123.0692000000008,1129.0067750000014,2501129.0067749997,0.0,1004
2025-11-03 13:15:00+05:30,ENTRY,LONG,952.0,2,C3_LONG + EMA_OK + BUFFER,0.0,1129.0067750000014,2501129.0067749997,1427.9999999999998,1045
2025-11-27 11:45:00+05:30,EXIT,LONG,975.0,2,EMA_REVERSAL,224.219,1353.2257750000015,2501353.2257749997,0.0,1464
2025-11-27 14:00:00+05:30,ENTRY,SHORT,968.95,1,C3_SHORT + EMA_OK + BUFFER,0.0,1353.2257750000015,2501353.2257749997,726.7125,1473
2025-11-27 15:15:00+05:30,EXIT,SHORT,973.0,1,EOD,-23.162924999999774,1330.0628500000016,2501330.06285,0.0,1478
