time,direction,price,lots,reason,realized_pnl,available_after
2025-05-12 09:15:00+05:30,SHORT,799.5,1,STOP,-122.3625,2499877.6375
2025-05-20 13:30:00+05:30,LONG,788.65,2,STOP,-117.76580000000068,2499759.8717
2025-05-23 12:15:00+05:30,SHORT,793.15,4,STOP,-237.44939999999954,2499522.4223
2025-06-05 13:30:00+05:30,LONG,804.0,8,EMA_REVERSAL,108.74240000000182,2499631.1647
2025-06-20 15:00:00+05:30,SHORT,796.95,8,EMA_REVERSAL,262.78859999999815,2499893.9533
2025-06-30 10:15:00+05:30,LONG,818.8,4,MONTH_END,33.187299999999546,2499927.1406
2025-07-02 13:15:00+05:30,LONG,811.15,2021,STOP,-140871.02612500047,2359056.1144749997
2025-07-03 14:15:00+05:30,LONG,807.65,8,EMA_REVERSAL,-251.4532000000027,2358804.661275
2025-07-10 10:15:00+05:30,SHORT,813.6,16,EMA_REVERSAL,-486.91840000000184,2358317.742875
2025-07-15 09:45:00+05:30,SHORT,817.5,32,EMA_REVERSAL,-1781.9687999999965,2356535.774075
2025-07-22 11:30:00+05:30,LONG,817.9,64,STOP,-2685.7951999999927,2353849.978875
2025-07-31 09:15:00+05:30,SHORT,795.1,128,MONTH_END,12106.956799999985,2365956.935675
2025-08-06 10:15:00+05:30,SHORT,801.9,128,STOP,-5330.422400000015,2360626.513275
2025-08-07 12:15:00+05:30,LONG,796.85,256,STOP,-16040.607999999942,2344585.905275
2025-08-21 15:15:00+05:30,LONG,824.05,512,EMA_REVERSAL,-1649.8560000002326,2342936.0492749996
2025-09-10 10:15:00+05:30,SHORT,823.5,1024,STOP,-44501.19680000023,2298434.8524749996
2025-09-26 09:30:00+05:30,LONG,858.0,1858,STOP,308384.4299000004,2606819.282375
2025-10-07 09:15:00+05:30,SHORT,870.45,1012,STOP,-39822.528900000114,2566996.7534749997
2025-10-10 09:30:00+05:30,SHORT,870.55,1992,STOP,-120205.89539999956,2446790.8580750003
2025-10-31 09:15:00+05:30,LONG,939.25,1848,MONTH_END,518857.9704000004,2965648.828475001
2025-11-18 15:15:00+05:30,LONG,971.3,2024,EOD,189476.86119999955,3155125.6896750005
